y_true	y_proba
1	0.3
1	0.12
1	0.74
1	0.16
0	0.43
0	0.04
1	0.2
0	0.62
1	0.26
1	0.92
0	0.5
0	0.14
1	0.06
0	0.4
0	0.32
1	0.28
0	0.08
0	0.41
0	0.04
0	0.87
1	0.36
1	0.85
1	0.27
1	0.41
0	0.26
1	0.95
1	0.5
1	0.43
0	0.8
0	0.84
0	0.31
0	0.41
0	0.48
1	0.88
1	0.5
1	0.75
0	0.62
0	0.76
1	0.24
1	0.59
1	0.36
1	0.2
1	0.54
0	0.36
1	0.87
1	0.52
1	0.23
0	0.46
1	0.81
0	0.5
1	0.49
0	0.2
1	0.1
1	0.53
1	0.35
1	0.51
0	0.36
1	0.31
0	0.36
1	0.78
0	0.29
0	0.17
0	0.24
1	0.24
1	0.45
1	0.15
1	0.45
1	0.18
0	0.58
1	0.35
1	0.11
1	0.53
1	0.06
0	0.83
1	0.18
1	0.29
1	0.45
0	0.0
1	0.32
1	0.31
0	0.06
0	0.16
0	0.26
1	0.12
1	0.19
0	0.95
0	0.48
1	0.27
