y_true	y_proba
0	0.67
0	0.16
0	0.48
0	0.13
0	0.07
0	0.08
0	0.01
0	0.04
0	0.04
0	0.39
0	0.46
0	0.81
0	0.87
0	0.13
0	0.13
0	0.09
0	0.33
0	0.54
0	0.54
0	0.11
0	0.53
0	0.38
0	0.52
1	0.07
1	0.47
1	0.82
1	0.52
1	0.68
1	0.54
1	0.6
1	0.63
1	0.27
1	0.13
1	0.53
1	0.11
1	0.27
1	0.19
1	0.0
1	0.1
1	0.06
1	0.08
1	0.21
1	0.25
1	0.67
1	0.89
1	0.35
1	0.54
1	0.66
1	0.1
1	0.14
1	0.52
1	0.31
1	0.25
1	0.64
1	0.86
1	0.23
1	0.54
1	0.41
1	0.8
1	0.55
1	0.3
1	0.32
1	0.96
1	0.32
1	0.82
1	0.74
1	0.89
1	0.66
1	0.39
1	0.31
1	0.55
1	0.42
1	0.59
1	1.0
0	0.36
0	0.12
0	0.15
0	0.13
0	0.04
0	0.53
0	0.19
0	0.6
0	0.02
0	0.14
0	0.18
0	0.5
0	0.56
0	0.12
0	0.74
0	0.1
0	0.08
0	0.35
0	0.29
0	0.27
0	0.18
0	0.57
0	0.63
0	0.52
0	0.54
0	0.74
0	0.44
