y_true	y_proba
1	0.81
1	0.82
1	0.29
1	1.0
1	1.0
1	0.63
1	0.76
1	1.0
1	1.0
1	0.94
1	0.76
1	0.26
1	0.92
1	0.07
1	0.15
1	0.87
1	1.0
1	0.76
1	0.95
1	0.91
1	0.84
1	0.99
1	0.92
1	0.78
1	0.27
1	0.59
1	0.16
1	0.31
1	0.24
1	0.26
1	0.82
1	0.27
1	1.0
1	0.84
1	0.11
1	0.24
1	0.38
1	0.87
1	0.8
1	0.86
1	0.02
1	0.02
1	0.96
1	0.13
1	0.09
1	0.7
1	0.26
1	0.92
1	0.0
1	0.79
1	0.06
1	0.75
1	0.25
1	0.14
1	0.87
1	0.02
1	0.03
1	0.01
1	0.89
1	0.0
1	1.0
1	0.99
1	0.45
1	0.15
1	0.02
1	0.97
1	0.0
1	0.73
1	0.95
1	0.79
1	0.86
1	0.11
0	0.02
0	0.05
0	0.11
0	0.32
0	0.0
0	0.0
0	0.42
0	0.0
0	0.12
0	0.03
0	0.1
